Set Name	Byte Offset	Bits	Bytes	Description	Modified
Accessory	00	01	1	Has effect on Gil	2003.05.20
Accessory	00	1E	1	???	2007.01.11
Accessory	00	20	1	Has effect on MP	2003.05.20
Accessory	00	40	1	Has effect on Counter%	2003.05.20
Accessory	00	80	1	???	2003.05.20
Accessory	01	0F	1	???	2003.05.20
Accessory	01	10	1	Has effect on HP	2003.05.20
Accessory	01	20	1	???	2003.05.20
Accessory	01	40	1	Has effect on stats	2003.05.20
Accessory	01	80	1	Has effect in battle	2003.05.20
Accessory	02	FF	1	Type of effect	2003.05.20
Accessory	03	FF	1	Value of effect (differs depending on area)	2003.05.20
Armor	00	FF	1	Defense	2003.05.20
Armor	01	FF	1	Inflicted Status	2003.05.20
Armor	02	FF	1	Does item inflict status?	2003.05.20
Character	00	FF	1	Subscreen portrait	2003.05.20
Character	01	FF	1	???	2003.05.21
Character	02	01	1	Critical Status	2008.02.14
Character	02	FE	1	Unknown	2008.02.14
Character	03	FF	2	HP	2003.05.20
Character	05	FF	2	Max HP	2003.05.20
Character	07	FF	2	MP	2003.05.20
Character	09	FF	2	Max MP	2003.05.20
Character	0B	FF	1	Power	2003.05.20
Character	0C	FF	1	Stamina	2003.05.20
Character	0D	FF	1	Speed - 1	2003.05.20
Character	0E	FF	1	Magic	2003.05.20
Character	0F	FF	1	Hit	2003.05.20
Character	10	FF	1	Evade	2003.05.20
Character	11	FF	1	Magic Defense	2003.05.20
Character	12	FF	1	Level	2003.05.20
Character	13	FF	3	XP	2003.05.20
Character	16	FF	2	???	2003.05.21
Character	18	FF	5	"???, Always 0"	2008.02.14
Character	1D	7F	1	Unknown	2008.02.14
Character	1D	80	1	Swoon Status	2008.02.14
Character	1E	01	1	Blind	2008.02.14
Character	1E	02	1	Sleep	2008.02.14
Character	1E	04	1	Confused	2008.02.14
Character	1E	08	1	Lock	2008.02.14
Character	1E	10	1	Seizure (Lose HP gradually)	2008.02.14
Character	1E	20	1	Slow	2008.02.14
Character	1E	40	1	Poison	2008.02.14
Character	1E	80	1	Stop	2008.02.14
Character	1F	FF	1	"Unknown, likely battle status effects"	2008.02.14
Character	20	7F	1	Unknown	2008.02.14
Character	20	80	1	Haste	2008.02.14
Character	21	03	1	Unknown	2008.02.14
Character	21	04	1	Protect	2008.02.14
Character	21	18	1	Unknown	2008.02.14
Character	21	20	1	MP Regen	2008.02.14
Character	21	40	1	Shell	2008.02.14
Character	21	80	1	Beserk	2008.02.14
Character	22	7F	1	Unknown	2008.02.14
Character	22	80	1	Auto-Revive	2008.02.14
Character	23	03	1	Unknown	2008.02.14
Character	23	04	1	Beserker accessory equipped ('Auto attack / Hit & Def. up' Status?)	2008.02.14
Character	23	F8	1	Unknown	2008.02.14
Character	24	FF	3	Unknown	2008.02.14
Character	27	FF	1	Helmet	2003.05.20
Character	28	FF	1	Armor	2003.05.20
Character	29	FF	1	Weapon	2003.05.20
Character	2A	FF	1	Accessory	2003.05.20
Character	2B	FF	2	XP to next level	2003.05.20
Character	2D	FF	2	TP to next Tech	2003.05.20
Character	2F	FF	2	???	2003.05.21
Character	31	FF	1	"???, Always 0"	2003.05.21
Character	32	FF	4	???	2003.05.21
Enemy	00	FF	2	HP	2003.07.18
Enemy	02	FF	1	Level	2003.07.18
Enemy	03	FF	6	???	2003.07.18
Enemy	09	FF	1	Speed	2003.07.14
Enemy	0A	FF	1	Magic	2003.07.14
Enemy	0B	FF	3	???	2003.07.14
Enemy	0E	FF	1	Offense	2003.05.20
Enemy	0F	FF	1	Defense	2003.05.20
Enemy	10	FF	1	Lightning Defense	2003.05.20
Enemy	11	FF	1	Shadow Defense	2003.05.20
Enemy	12	FF	1	Water Defense	2003.05.20
Enemy	13	FF	1	Fire Defense	2003.05.20
Enemy	14	FF	1	Evade	2003.07.18
Enemy	15	01	1	Use boss death animation	2006.12.21
Enemy	15	02	1	HP not visible with SightScope or Relic equipped	2006.12.21
Enemy	15	FC	2	???	2006.12.21
Enemy Rewards	00	FF	2	XP	2003.05.20
Enemy Rewards	02	FF	2	Gil	2003.05.12
Enemy Rewards	04	FF	1	Drop	2003.05.12
Enemy Rewards	05	FF	1	Charm	2003.05.12
Enemy Rewards	06	FF	1	Tech Points	2003.05.12
Enemy Special Settings	0	FF	2	Enemy index	2008.07.11
Enemy Special Settings	2	FF	2	"0003 - Tech and Item disabled ($5F Rubble, $80 Turret, $43 Side Kick) . 0004 - Unknown, not used? . FFF8 - Unknown"	2008.07.11
Enemy Target	0	01	1	Enemy name display off	2006.12.21
Events	00	FF	1	Number of events contained in file (each event has 32 bytes of pointers)	2004.03.30
Events	01	FF	2	Startup pointer for event . offset from byte 1 (arbitrary number of pointers in multiples of 32 bytes)	2004.03.30
Events	03	FF	1E	"???, more pointers into event commands, but unknown purpose, many point to Command 00"	2007.06.29
Events	21	FF	0	Event commands	2004.01.12
Item Secondary	00	01	1	???	2003.11.12
Item Secondary	00	02	1	Useable in Menu	2003.11.12
Item Secondary	00	04	1	No Sell	2003.11.12
Item Secondary	00	08	1	Key Item	2003.11.12
Item Secondary	00	10	1	Not carried over	2003.11.12
Item Secondary	00	60	1	???	2003.11.12
Item Secondary	00	80	1	Useable in battle	2003.11.12
Item Secondary	01	FF	2	Price	2003.05.20
Item Secondary	03	01	1	Ignored	2003.11.12
Item Secondary	03	02	1	Equippable by Magus	2003.11.12
Item Secondary	03	04	1	Equippable by Ayla	2003.11.12
Item Secondary	03	08	1	Equippable by Frog	2003.11.12
Item Secondary	03	10	1	Equippable by Robo	2003.11.12
Item Secondary	03	20	1	Equippable by Lucca	2003.11.12
Item Secondary	03	40	1	Equippable by Marle	2003.11.12
Item Secondary	03	80	1	Equippable by Crono	2003.11.12
Item Secondary	04	FF	1	Stat increase	2003.05.20
Item Secondary	05	0F	1	Special protective ability quantity	2005.02.01
Item Secondary	05	10	1	Protects vs fire	2005.02.01
Item Secondary	05	20	1	Protects vs water	2005.02.01
Item Secondary	05	40	1	Protects vs shadow	2005.02.01
Item Secondary	05	80	1	Protects vs lightning	2005.02.01
Location Data	00	FF	1	Music played at location	2003.07.10
Location Data	01	FF	1	Tileset Layer 1 & 2	2003.11.13
Location Data	02	FF	1	Tile Chunks for Layer 3	2003.11.13
Location Data	03	FF	1	PaletteSet ((PS * 0xD2) + 0x3624C0)	2004.06.21
Location Data	04	FF	2	Loaded map	2003.07.10
Location Data	06	FF	2	Ignored	2003.07.10
Location Data	08	FF	2	Location Events	2003.07.10
Location Data	0A	FF	1	Left	2003.07.10
Location Data	0B	FF	1	Top	2003.07.10
Location Data	0C	FF	1	Right	2003.07.10
Location Data	0D	FF	1	Bottom	2003.07.10
Location Exit	00	FF	1	X coord	2004.04.21
Location Exit	01	FF	1	Y coord	2004.04.21
Location Exit	02	7F	1	Width - 1	2004.04.22
Location Exit	02	80	1	Vertical flag	2004.04.22
Location Exit	03	01FF	2	Destination Location	2004.04.30
Location Exit	04	06	1	Destination Facing	2004.04.21
Location Exit	04	08	1	Half tile to the left of Dest exit	2004.04.22
Location Exit	04	10	1	Half tile above Dest exit	2004.04.22
Location Exit	04	E0	1	Not used	2004.04.22
Location Exit	05	FF	1	Destination X coord	2004.04.21
Location Exit	06	FF	1	Destination Y coord	2004.04.21
Location Map	00	03	1	"Layer 1 width (/16, -1)"	2003.11.12
Location Map	00	0C	1	"Layer 1 height (/16, -1)"	2003.11.12
Location Map	00	30	1	"Layer 2 width (/16, -1)"	2003.11.12
Location Map	00	C0	1	"Layer 2 height (/16, -1)"	2003.11.12
Location Map	01	03	1	"Layer 3 width (/16, -1)"	2003.11.12
Location Map	01	0C	1	"Layer 3 height (/16, -1)"	2003.11.12
