Command	Address	Bytes	Pseudo	Summary	Description	Modified
00	5F74	1	00	return	5900 context - null command (not executed) . 5AA3 context - unknown	2004.09.28
01	5F6E	1	01	color crash	unknown - probably a debug hold-over designed to let the event command programmer know when something went terribly wrong	2008.02.22
02	5FB6	3	02 aa po	call event	"aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . will wait only if new thread has higher priority, instantly returns if object is dead or busy"	2005.01.11
03	607E	3	03 aa po	call event	aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . waits until execution starts (will wait indefinitely if current thread has lower priority than new one)	2005.01.11
04	6109	3	04 aa po	call event	aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . will wait on execution	2005.01.11
05	61E9	3	05 cc po	call PC event	"cc - PC . p - priority . o - part of the offset to event pointer to load . will wait only if new thread has higher priority, instantly returns if object is dead or busy"	2005.01.11
06	61FE	3	06 cc po	call PC event	cc - PC . p - priority . o - part of the offset to event pointer to load . waits until execution starts (will wait indefinitely if current thread has lower priority than new one)	2005.01.11
07	6214	3	07 cc po	call PC event	cc - PC . p - priority . o - part of the offset to event pointer to load . will wait on execution	2005.01.11
08	6240	1	08	object activation	turn off object activate & touch (PC can't interact)	2007.01.11
09	624B	1	09	object activation	turn on object activate & touch	2007.01.11
0A	6254	2	0A oo	remove object	oo - object to stop drawing and remove (/2)	2004.10.21
0B	6269	2	0B oo	script processing	turn off processing   oo - object (/2) to turn off	2007.01.11
0C	6282	2	0C oo	script processing	turn on processing   oo - object (/2) to turn on	2007.01.11
0D	6295	2	0D pp	npc move props	pp - npc movement properties	2004.07.09
0E	62A4	2	0E pp	npc positioning	pp - position on tile	2006.12.21
0F	5535	1	0F	npc facing (up)	overlaps A6 . should be same with a hard coded 00 value	2004.06.21
10	62B5	2	10 jj	jump fwd	jj - bytes to jump forwards . partial overlap with 11	2004.04.01
11	62CB	2	11 jj	jump back	jj - bytes to jump backwards . partial overlap with 10	2004.04.01
12	62DE	5	12 aa vv oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . vv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16"	2005.01.17
13	6313	6	13 aa vvvv oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . vvvv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . two byte version of 12"	2005.01.17
14	6361	5	14 aa bb oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . bb - offset into SNES memory (*2, +7F0200) . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16"	2005.01.17
15	63A4	5	15 aa bb oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . bb - offset into SNES memory (*2, +7F0200) . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16 . two byte version of 14"	2005.01.17
16	63E6	5	16 aa vv oo jj	if statement	aa - offset into SNES memory (+7F0000) . vv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 12	2004.04.01
17	5539	1	17	npc facing (down)	overlaps A6 . should be same with a hard coded 01 value	2004.05.25
18	6442	3	18 vv jj	check storyline	vv - storyline point to check for . jj - bytes to jump if storyline point already reached (or passed)	2004.06.14
19	653B	2	19 aa	get result	"aa - address to load result from (*2, +7F0200) . Overlaps 1C"	2007.01.11
1A	6568	3	1A rr jj	result	rr - target result . jj - bytes to jump if result does not match target	2004.05.26
1B	553D	1	1B	npc facing (left)	overlaps A6 . should be same with a hard coded 02 value	2004.06.24
1C	654E	3	1C aaaa	get result	aaaa - address to load result from (+7F0000) . Overlapped by 19	2007.01.11
1D	5541	1	1D	npc facing (right)	overlaps A6 . should be same with a hard coded 03 value	2004.06.24
1E	556C	2	1E nn	npc facing (up)	nn - npc to change facing for . overlaps A6	2004.06.24
1F	5579	2	1F nn	npc facing (down)	nn - npc to change facing for . overlaps A6	2004.06.24
20	658F	2	20 oo	get pc1	"oo - offset to store to (*2, +7F0200) . gets PC1 value and stores in memory"	2005.01.17
21	65AA	4	21 oo aa bb	get object coord	"oo - object (/2) . aa - offset to store X Coord to (*2, +7F0200) . bb - offset to store Y Coord to (*2, +7F0200) . overlapped by 22"	2005.01.17
22	65EB	4	22 cc aa bb	get pc coord	"cc - PC (/2) . aa - offset to store X Coord to (*2, +7F0200) . bb - offset to store Y Coord to (*2, +7F0200) . overlaps 21"	2005.01.17
23	65F8	3	23 oo aa	get obj facing	"oo - object (/2) . aa - offset to store to (*2, +7F0200) . overlapped by 24"	2005.01.17
24	661F	3	24 cc aa	get pc facing	"cc - PC (/2) . aa - offset to store to (*2, +7F0200) . overlaps 23"	2005.01.17
25	5586	2	25 nn	npc facing (left)	nn - npc to change facing for . overlaps A6	2004.06.24
26	5593	2	26 nn	npc facing (right)	nn - npc to change facing for . overlaps A6	2004.06.28
27	662C	3	27 oo jj	check object status	"oo - object number (/2) . jj - bytes to jump if object is offscreen, not loaded ""ex: PC not in party"", or has drawstatus hide"	2007.06.12
28	6655	3	28 oo jj	check battle range	oo - object number (/2) .  jj - bytes to jump if object is not close enough to be included in battle	2007.06.12
29	3E84	2	29 ii	load ascii text	ii - index (+0x80) . loads ascii ending credits text from 3DA000.	2007.06.12
2A	3ED6	1	2A		unknown - sets bit 04 at 7E0154	2004.06.17
2B	3EDE	1	2B		"unknown - overlaps 2A, sets bit 08"	2004.06.17
2C	3EE6	3	2C ?? ??			2004.06.23
2D	66A5	2	2D jj	check any btn	jj - bytes to jump if no button pressed . checks for any button pressed (7E00F8)	2004.06.22
2E	4A4E	2	2E m? …	color math	m - mode . (see long notes)	2008.03.03
2F	3F12	3	2F ?? ??		"unknown - stores to 7E:0BE3 and 7E:0BE4, appears to have something to do with scrolling layers"	2007.08.31
30	66B2	2	30 jj	check Dash btn	jj - bytes to jump if not pressed . Checks to see if Dash is pressed	2008.02.25
31	66BC	2	31 jj	check Confirm btn	jj - bytes to jump if not pressed . Checks to see if Confirm is pressed	2008.02.25
32	3EE2	1	32		unknown - overlaps 2A . sets bit 10	2004.06.23
33	3711	2	33 pp	change palette	pp - palette to change to	2007.01.11
34	66C6	2	34 jj	check a btn	jj - bytes to jump if check fails . Checks to see if A is pressed	2004.06.14
35	66E5	2	35 jj	check b btn	jj - bytes to jump if check fails . Checks to see if B is pressed	2004.06.14
36	66EF	2	36 jj	check x btn	jj - bytes to jump if check fails . Checks to see if X is pressed	2004.06.14
37	66F9	2	37 jj	check y btn	jj - bytes to jump if check fails . Checks to see if Y is pressed	2004.06.14
38	6705	2	38 jj	check l btn	jj - bytes to jump if check fails . Checks to see if L is pressed	2004.06.14
39	670F	2	39 jj	check r btn	jj - bytes to jump if check fails . Checks to see if R is pressed	2004.06.14
3A	5F6E	1	3A	alias	same as 01	2008.02.22
3B	6719	2	3B jj	check Dash btn	jj - bytes to jump if not pressed . Checks to see if Dash has been pressed since last check	2008.02.25
3C	6724	2	3C jj	check Confirm btn	jj - bytes to jump if not pressed . Checks to see if Confirm has been pressed since last check	2008.02.25
3D	5F6E	1	3D	alias	same as 01	2008.02.22
3E	5F6E	1	3E	alias	same as 01	2008.02.22
3F	6732	2	3F jj	check a btn	jj - bytes to jump if check fails . Checks to see if A has been pressed since last check	2008.02.25
