Command	Address	Bytes	Pseudo	Summary	Description	Modified
00	541C	1	00	return	5900 context - null command (not executed) . 5AA3 context - unknown	2008.02.25
01	5416	1	01	color crash	unknown - probably a debug hold-over designed to let the event command programmer know when something went terribly wrong	2008.02.20
02	545E	3	02 aa po	call event	"aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . will wait only if new thread has higher priority, instantly returns if object is dead or busy"	2008.02.25
03	5529	3	03 aa po	call event	aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . waits until execution starts (will wait indefinitely if current thread has lower priority than new one)	2008.02.25
04	55B7	3	04 aa po	call event	aa - part of the offset to event pointer to load . p - priority . o - part of the offset to event pointer to load . will wait on execution	2008.02.25
05	569D	3	05 cc po	call PC event	"cc - PC . p - priority . o - part of the offset to event pointer to load . will wait only if new thread has higher priority, instantly returns if object is dead or busy"	2008.02.25
06	56B7	3	06 cc po	call PC event	cc - PC . p - priority . o - part of the offset to event pointer to load . waits until execution starts (will wait indefinitely if current thread has lower priority than new one)	2008.02.25
07	56D2	3	07 cc po	call PC event	cc - PC . p - priority . o - part of the offset to event pointer to load . will wait on execution	2008.02.25
08	5706	1	08	object activation	turn off object activate & touch (PC can't interact)	2008.02.25
09	5711	1	09	object activation	turn on object activate & touch	2008.02.25
0A	571A	2	0A oo	remove object	oo - object to stop drawing and remove (/2)	2008.02.25
0B	5734	2	0B oo	script processing	turn off processing   oo - object (/2) to turn off	2008.02.25
0C	5755	2	0C oo	script processing	turn on processing   oo - object (/2) to turn on	2008.02.25
0D	5772	2	0D pp	npc move props	pp - npc movement properties	2008.02.25
0E	5784	2	0E pp	npc positioning	pp - position on tile	2008.02.25
0F	5416	1	0F	alias	same as 01	2008.02.20
10	5796	2	10 jj	jump fwd	jj - bytes to jump forwards . partial overlap with 11	2008.02.25
11	57AC	2	11 jj	jump back	jj - bytes to jump backwards . partial overlap with 10	2008.02.25
12	57BF	5	12 aa vv oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . vv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16"	2008.02.25
13	57F4	6	13 aa vvvv oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . vvvv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . two byte version of 12"	2008.02.25
14	5842	5	14 aa bb oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . bb - offset into SNES memory (*2, +7F0200) . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16"	2008.02.25
15	5885	5	15 aa bb oo jj	if statement	"aa - offset into SNES memory (*2, +7F0200) . bb - offset into SNES memory (*2, +7F0200) . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 16 . two byte version of 14"	2008.02.25
16	58C7	5	16 aa vv oo jj	if statement	aa - offset into SNES memory (+7F0000) . vv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . partial overlap with 12	2008.02.25
17	5923	6	17 aa vvvv oo jj	if statement	aa - offset into SNES memory (+7F0000) . vvvv - value used in operation . oo - index for operation pointer (+006667) . jj - bytes to jump to next command if operation equates false . Two byte version of 16	2008.02.25
18	5984	3	18 vv jj	check storyline	vv - storyline point to check for . jj - bytes to jump if storyline point already reached (or passed)	2008.02.25
19	5A7D	2	19 aa	get result	"aa - address to load result from (*2, +7F0200) . Overlaps 1C"	2008.02.25
1A	5AB7	3	1A rr jj	result	rr - target result . jj - bytes to jump if result does not match target	2008.02.25
1B	5ADE	4	1B rrrr jj	result	rrrr - target result . jj - bytes to jump if result does not match target . Two byte version of 1A	2008.02.25
1C	5A90	3	1C aaaa	get result	aaaa - address to load result from (+7F0000) . Overlapped by 19	2008.02.25
1D	5AA9	1	1D	set result to story		2008.02.25
1E	5416	1	1E	alias	same as 01	2008.02.20
1F	5416	1	1F	alias	same as 01	2008.02.20
20	5B0B	2	20 oo	get pc1	"oo - offset to store to (*2, +7F0200) . gets PC1 value and stores in memory"	2008.02.25
21	5B34	4	21 oo aa bb	get object coord	"oo - object (/2) . aa - offset to store X Coord to (*2, +7F0200) . bb - offset to store Y Coord to (*2, +7F0200) . overlapped by 22"	2008.02.25
22	5B7A	4	22 cc aa bb	get pc coord	"cc - PC (/2) . aa - offset to store X Coord to (*2, +7F0200) . bb - offset to store Y Coord to (*2, +7F0200) . overlaps 21"	2008.02.25
23	5B8C	3	23 oo aa	get obj facing	"oo - object (/2) . aa - offset to store to (*2, +7F0200) . overlapped by 24"	2008.02.25
24	5BB8	3	24 cc aa	get pc facing	"cc - PC (/2) . aa - offset to store to (*2, +7F0200) . overlaps 23"	2008.02.25
25	5BCA	4	25 ?? cc jj		"jj - bytes to jump if condition not met . cc - range of 00 - 06, possibly character releated.  Unknown conditional"	2008.07.11
26	5416	1	26	alias	same as 01	2008.02.20
27	5CA1	3	27 oo jj	check object status	"oo - object number (/2) . jj - bytes to jump if object is offscreen, not loaded ""ex: PC not in party"", or has drawstatus hide"	2008.02.25
28	5416	1	28	alias	same as 01	2008.02.20
29	5416	1	29	alias	same as 01	2008.02.20
2A	5416	1	2A	alias	same as 01	2008.02.20
2B	5416	1	2B	alias	same as 01	2008.02.20
2C	5416	1	2C	alias	same as 01	2008.02.20
2D	5416	1	2D	alias	same as 01	2008.02.20
2E	3DE8	2	2E m? …	color math	m - mode . (see long notes)	2008.03.03
2F	5E0F	2	2F vv		vv - value stored to 7E0166	2008.02.25
30	5CCF	2	30 jj	check Dash btn	jj - bytes to jump if not pressed . Checks to see if Dash is pressed	2008.02.25
31	5CDB	2	31 jj	check Confirm btn	jj - bytes to jump if not pressed . Checks to see if Confirm is pressed	2008.02.25
32	5CE7	2	32 jj	check Cancel btn	jj - bytes to jump if not pressed . Checks to see if Cancel is pressed	2008.02.25
33	5CF3	2	33 jj	check Map btn	jj - bytes to jump if not pressed . Checks to see if Map is pressed	2008.02.25
34	5CFF	2	34 jj	check a btn	jj - bytes to jump if check fails . Checks to see if A is pressed	2008.02.25
35	5D20	2	35 jj	check b btn	jj - bytes to jump if check fails . Checks to see if B is pressed	2008.02.25
36	5D2C	2	36 jj	check x btn	jj - bytes to jump if check fails . Checks to see if X is pressed	2008.02.25
37	5D38	2	37 jj	check y btn	jj - bytes to jump if check fails . Checks to see if Y is pressed	2008.02.25
38	5D44	2	38 jj	check l btn	jj - bytes to jump if check fails . Checks to see if L is pressed	2008.02.25
