Byte Offset	Bytes	Bits	Mode	Description	Modified
7E0000	80	FF	All	Temporary values	2007.02.09
7E0006	01	FF	Battle	Item index string to display after using Charm	2007.06.29
7E0016	03	FF	Menu	Pointer to routines for current menu	2007.06.29
7E0016	01	FF	Battle	Current Tech % chance (copied from 7EAEE7)	2008.07.17
7E0026	1	FF	Battle	Random value (copied from 7E29AD)	2008.07.17
7E0067	01	FF	Menu	Menu value obtained from 02808F-028095 data	2007.06.29
7E0079	01	FF	Save Menu	Currently selected save slot (copied to 7E0414)	2007.08.16
7E007F	01	FF	Save Menu	Currently selected save slot	2007.08.16
7E009A	01	03	Mode 7	"Jet Bike Race Boosts available, range: 00-03"	2008.02.14
7E00ED	03	FF	Overworld	Pointer to Overworld data	2007.06.12
7E00F2	1	01	Location	Controller 1 Start button	2007.06.29
7E00F2	1	02	Location	Controller 1 Select button	2007.06.29
7E00F2	1	04	Location	Controller 1 Y button (Event Command 37)	2007.06.29
7E00F2	1	08	Location	Controller 1 B button (Event Command 35)	2007.06.29
7E00F2	1	10	Location	Controller 1 R shoulder button (Event Command 39)	2007.06.29
7E00F2	1	20	Location	Controller 1 L shoulder button (Event Command 38)	2007.06.29
7E00F2	1	40	Location	Controller 1 X button (Event Command 36)	2007.06.29
7E00F2	1	80	Location	Controller 1 A button (Event Command 34)	2007.06.29
7E00F3	1	01	Location	Controller 1 right	2007.06.29
7E00F3	1	02	Location	Controller 1 left	2007.06.29
7E00F3	1	04	Location	Controller 1 down	2007.06.29
7E00F3	1	08	Location	Controller 1 up	2007.06.29
7E00F8	1	01	Location	"Controller 1 Y button (Event Command 2D, entire byte)"	2007.06.29
7E00F8	1	04	Location	Controller 1 Select button	2007.06.29
7E00F8	1	0A	Location	"Controller 1 B button (Event Command 30, bit 02)"	2007.06.29
7E00F8	1	10	Location	Controller 1 R shoulder button	2007.06.29
7E00F8	1	20	Location	Controller 1 L shoulder button	2007.06.29
7E00F8	1	40	Location	Controller 1 X button	2007.06.29
7E00F8	1	80	Location	Controller 1 A button (Event Command 31)	2007.06.29
7E00F9	1	01	Location	"Controller 1 right (Event Command 2D, entire byte)"	2007.06.29
7E00F9	1	02	Location	Controller 1 left	2007.06.29
7E00F9	1	04	Location	Controller 1 down	2007.06.29
7E00F9	1	08	Location	Controller 1 up	2007.06.29
7E00FD	1	FF	Location	Appears to be a counter for how long a button is held	2007.06.29
7E00FE	1	01	Location	Controller 1 Start button	2007.06.29
7E00FE	1	02	Location	Controller 1 Select button	2007.06.29
7E00FE	1	04	Location	Controller 1 Y button	2007.06.29
7E00FE	1	08	Location	Controller 1 B button	2007.06.29
7E00FE	1	10	Location	Controller 1 R shoulder button	2007.06.29
7E00FE	1	20	Location	Controller 1 L shoulder button	2007.06.29
7E00FE	1	40	Location	Controller 1 X button	2007.06.29
7E00FE	1	80	Location	Controller 1 A button	2007.06.29
7E00FF	1	01	Location	Controller 1 right	2007.06.29
7E00FF	1	02	Location	Controller 1 left	2007.06.29
7E00FF	1	04	Location	Controller 1 down	2007.06.29
7E00FF	1	08	Location	Controller 1 up	2007.06.29
7E0100	2	FF	All	Current Location	2007.01.11
7E0102	1	FF	All	Starting X Coord	2007.01.29
7E0103	1	FF	All	Starting Y Coord	2007.01.29
7E0104	1	03	All	Starting facing	2007.01.29
7E0105	02	FF	"Loc., OW"	Previous location	2007.06.29
7E0107	01	FF	"Loc., OW"	Previous starting X coord	2007.06.29
7E0108	01	FF	"Loc., OW"	Previous starting Y coord	2007.06.29
7E0109	01	03	"Loc., OW"	Previous starting facing	2007.06.29
7E010A	02	FF	"Loc., OW"	Last location visited (not overworld)	2007.06.29
7E010C	01	FF	"Loc., OW"	Last location visited starting X coord	2007.06.29
7E010D	01	FF	"Loc., OW"	Last location visited starting Y coord	2007.06.29
7E010E	01	03	"Loc., OW"	Last location visited starting facing	2007.06.29
7E0110	1	01		Set to disable menu access	2006.12.21
7E0111	1	FF		Set to disable pause	2007.01.29
7E0112	02	FF	"Loc., OW"	"Current location, or previous overworld map, unknown purpose"	2007.06.29
7E0114	01	FF	"Loc., OW"	Starting X coord	2007.06.29
7E0115	01	FF	"Loc., OW"	Starting Y coord	2007.06.29
7E0116	01	03	"Loc., OW"	Starting facing	2007.06.29
7E0117	01	01	Location	"Bit set after touching enemy, entering battle (0x20 also set)"	2007.06.29
7E0117	01	02	Location	Bit set when opening treasure chest	2007.06.29
7E0117	01	10	Location	Bit set when touching treasure chest/door	2007.06.29
7E0117	01	20	Location	"Bit set when hidden treasure chamber in Ozzie's Fort revealed, and battles"	2007.06.29
7E0117	01	40	Location	Bit set when Event Command C8 Special Dialog loads	2007.06.29
7E0117	01	80	Location	Bit set when using location exit	2007.06.29
7E0118	01	01	Location	Bit checked by Event Command D8 Battle	2007.06.29
7E0118	01	08	Location	"Screen brighten in progress, checked by event command F3"	2007.06.29
7E0118	01	40	Location	Bit set when Event Command C8 Special Dialog exits	2007.06.29
7E0119	01	08	Location	Game is paused when bit not set	2007.06.29
7E011E	01	01	Location	"Bit set by Event Commands DE, DF WarpParty"	2007.06.29
7E011F	1	01	Location	Explore Mode	2007.06.29
7E0120	1	01	Location	"when reset, can walk through walls, debug flag?"	2007.06.29
7E0121	01	FF	Location	Event Command F1 Brighten - byte 1 (color/intensity)	2007.06.29
7E0122	01	FF	Location	Event Command F1 Brighten - byte 1 (color/intensity)	2007.06.29
7E0123	01	FF	Location	Event Command F1 Brighten - byte 2 (duration/???)	2007.06.29
7E0124	01	FF	Location	Event Command F1 Brighten - byte 2 (duration/???)	2007.06.29
