FirstByte	LastByte	Type	Compressed	Description	Modified
000000					2007.06.28
0024B8	002500	CODE	N	Color crash - ends in infinite loop	2008.02.20
002501			N		2008.02.20
002547	003B14	CODE	N	Event code (unchecked)	2008.02.20
003B15	003B15	DATA	N	Starting enemy index that uses uncompressed graphics ($F8)	2008.02.06
003B16	004F51	CODE	N	Event code (unchecked)	2008.02.20
004F52	004F68	CODE	N	Event Command arbitrary access processing routine	2008.02.20
004F69	005215	CODE	N	Event code (unchecked)	2008.02.20
005216	005415	PTR	N	Pointers to Event Command routines (local)	2008.02.20
005416	00541B	CODE	N	Event Command 01 and others - color crash index	2008.02.20
00541C	005705	CODE	N	Event code (unchecked)	2008.07.11
005706	005710	CODE	N	Event Command 08 - turn off object activate & touch	2008.07.11
005711	005719	CODE	N	Event Command 09 - turn on object activate & touch (overlaps 08)	2008.07.11
00571A	005C02	CODE	N	Event code (unchecked)	2008.07.11
005C03	005C10	PTR	N	"Pointers to Event Command 25 parameter 2 subroutines, 7 total (PC related?), all point to same address"	2008.07.11
005C11	005CA0	CODE	N	Unknown subroutine used by Event Command 25	2008.07.11
005CA1	005E26	CODE	N	Event code (unchecked)	2008.07.11
005E27	005E32	CODE	N	Event Command 47 - animation limiter	2008.07.11
005E33	006592	CODE	N	Event code (unchecked)	2008.07.11
006593			N		2008.02.20
00FD00	00FDFF	DATA	N	Random number data? (sorted by column)	2007.06.28
00FE00	00FEFF	DATA	N	Random number data	2007.06.28
00FF00					2007.06.28
00FFB2	00FFB5	TXT	N	Game ID (AC9J)	2007.06.28
00FFB6					2007.06.28
01F8F9	01F9F8	DATA	N	Random number data	2007.06.28
01F9F9	01FFFF	---	N	UNUSED SPACE (1543 bytes)	2007.06.28
020000					2007.06.28
023013	023014	DATA	N	Map Dactyls can be used on (01F3 65000000 BC Prehistoric)	2007.06.28
023015					2007.06.28
0259B0	0259EF	PTR	N	Pointers to text character 00-1F routines	2008.02.06
0259F0			N		2008.02.06
025B80	025BA0	CODE	N	Text character 1A CronoNick	2008.02.06
025BA1			N		2008.02.06
025E34	025E40	CODE	N	Load main font width value and increment text character counter	2008.02.06
025E41			N		2008.02.06
027758	027758	DATA	N	Storyline value for Epoch time gauge 1F4->1F6 overworld map change	2008.02.06
027759			N		2008.02.06
028C02	028C24	DATA	N	Memory addresses and lengths of save data to copy (7 total)	2007.06.28
028C25					2007.06.28
029147	02915F	CODE	N	Shop Menu transactions - checks and sets max gold limit $98967F	2008.02.20
029160			N		2008.02.20
02D080	02D080	CODE	N	Routines load storyline counter chapter name values	2007.06.28
02D081	02D083	PTR	N	Pointer to storyline counter chapter name values data block	2007.06.28
02D084					2007.06.28
