FirstByte	LastByte	Type	Compressed	Description	Modified
000000	000065	CODE	N	Unknown routines	2008.02.20
000066	000087	CODE	N	Routines determine whether to load a Location or Overworld	2008.02.20
000088	000B85	CODE	N	Unknown routines	2008.02.20
000B86	000C4F	CODE	N	Location memory initialization	2008.02.20
000C50	000C5B	CODE	N	"Location memory initialization - standard battle music, treasure chest and door sounds"	2008.02.20
000C5C	000C75	CODE	N	Location memory intialization	2008.02.20
000C76	000D51	CODE	N	Unknown routines	2008.02.20
000D52	000D58	CODE	N	Door? tiles check - unknown	2008.02.20
000D59	000D5F	CODE	N	Door tiles check - Residence left	2008.02.20
000D60	000D66	CODE	N	Door tiles check - Residence right	2008.02.20
000D67	000D6D	CODE	N	Door tiles check - Cathedral/Factory/Dome/Ruins/Blackbird left	2008.02.20
000D6E	000D74	CODE	N	Door tiles check - Cathedral/Factory/Dome/Ruins/Blackbird right	2008.02.20
000D75	000D77	CODE	N	Routines used when no door tiles to copy	2008.02.20
000D78	000D94	CODE	N	CopyTiles - door tiles? unknown	2008.02.20
000D95	000E5E	CODE	N	Unknown routines	2008.02.20
000E5F	000E91	CODE	N	CopyTiles - door tiles Residence left	2008.02.20
000E92	001013	CODE	N	Unknown routines	2008.02.20
001014	001042	CODE	N	CopyTiles - door tiles Residence right	2008.02.20
001043	0011C8	CODE	N	Unknown routines	2008.02.20
0011C9	001214	CODE	N	CopyTiles - door tiles Factory/Cathedral/Dome/Ruins/Blackbird left	2008.02.20
001215	001453	CODE	N	Unknown routines	2008.02.20
001454	00149F	CODE	N	CopyTiles - door tiles Factory/Cathedral/Dome/Ruins/Blackbird right	2008.02.20
0014A0	001993	CODE	N	Unknown routines	2008.02.20
001994	001994	DATA	N	Storyline value for location party exchange menu	2008.02.20
001995	001CAD	CODE	N	Unknown routines	2008.02.20
001CAE	001CAE	DATA	N	"Song to play when defeated in battle ($26, The Day The World Revived)"	2008.02.20
001CAF	00278E	CODE	N	Unknown routines	2008.02.20
00278F	0027B4	CODE	N	"Unknown routines, ASCII text related?"	2008.02.20
0027B5	0027C9	CODE	N	"Load ASCII text character and check for end string ($80 or above), line break ($2F), period ($2E), space ($20)"	2008.02.20
0027CA	0027CD	CODE	N	ASCII text character 20 space	2008.02.20
0027CE	0027D1	CODE	N	ASCII text character 2E period	2008.02.20
0027D2	0027D4	CODE	N	Process $40-7F ASCII text character	2008.02.20
0027D5	0027DF	CODE	N	Store ASCII text result to 7ED800 range in RAM	2008.02.20
0027E0	0027EA	CODE	N	ASCII text character $80 end string	2008.02.20
0027EB	002823	CODE	N	"ASCII text character $2F line break, also used as a subroutine by $80 end string"	2008.02.20
002824	002E1D	CODE	N	Unknown routines	2008.02.20
002DC8	002DF0	CODE	N	"DMA to VRAM, called from 13 places in bank $C0"	2008.02.20
002DF1					2008.02.20
002E1E	002E66	CODE	N	Color crash (ends in infinite loop)	2008.02.20
002E67	002E99	CODE	N	"Event Commands AA, AE, B4 (and probably B3)"	2008.02.20
