FirstByte	LastByte	Type	Compressed	Description	Modified
000000	000065	CODE	N	Unknown routines	2007.06.29
000066	000087	CODE	N	Routines determine whether to load a Location or Overworld	2007.08.15
000088	000B85	CODE	N	Unknown routines	2007.06.29
000B86	000C4F	CODE	N	Location memory initialization	2007.06.29
000C50	000C5B	CODE	N	"Location memory initialization - standard battle music, treasure chest and door sounds"	2007.08.15
000C5C	000C75	CODE	N	Location memory intialization	2007.06.29
000C76	000D51	CODE	N	Unknown routines	2007.06.29
000D52	000D58	CODE	N	Door? tiles check - unknown	2007.06.29
000D59	000D5F	CODE	N	Door tiles check - Residence left	2007.06.29
000D60	000D66	CODE	N	Door tiles check - Residence right	2007.06.29
000D67	000D6D	CODE	N	Door tiles check - Cathedral/Factory/Dome/Ruins/Blackbird left	2007.08.15
000D6E	000D74	CODE	N	Door tiles check - Cathedral/Factory/Dome/Ruins/Blackbird right	2007.08.15
000D75	000D77	CODE	N	Routines used when no door tiles to copy	2007.06.29
000D78	000D94	CODE	N	CopyTiles - door tiles? unknown	2007.06.29
000D95	000E5E	CODE	N	Unknown routines	2007.06.29
000E5F	000E91	CODE	N	CopyTiles - door tiles Residence left	2007.06.29
000E92	001013	CODE	N	Unknown routines	2007.06.29
001014	001042	CODE	N	CopyTiles - door tiles Residence right	2007.06.29
001043	0011C8	CODE	N	Unknown routines	2007.06.29
0011C9	001214	CODE	N	CopyTiles - door tiles Factory/Cathedral/Dome/Ruins/Blackbird left	2007.08.15
001215	001453	CODE	N	Unknown routines	2007.06.29
001454	00149F	CODE	N	CopyTiles - door tiles Factory/Cathedral/Dome/Ruins/Blackbird right	2007.08.15
0014A0	001993	CODE	N	Unknown routines	2007.06.29
001994	001994	DATA	N	Storyline value for location party exchange menu	2006.12.20
001995	001CAD	CODE	N	Unknown routines	2007.01.15
001CAE	001CAE	DATA	N	"Song to play when defeated in battle ($26, The Day The World Revived)"	2007.01.15
001CAF	00278E	CODE	N	Unknown routines	2008.02.13
00278F	0027B4	CODE	N	"Unknown routines, ASCII text related?"	2008.02.13
0027B5	0027C9	CODE	N	"Load ASCII text character and check for end string ($80 or above), line break ($2F), period ($2E), space ($20)"	2008.02.13
0027CA	0027CD	CODE	N	ASCII text character 20 space	2008.02.13
0027CE	0027D1	CODE	N	ASCII text character 2E period	2008.02.13
0027D2	0027D4	CODE	N	Process $40-7F ASCII text character	2008.02.13
0027D5	0027DF	CODE	N	Store ASCII text result to 7ED800 range in RAM	2008.02.13
0027E0	0027EA	CODE	N	ASCII text character $80 end string	2008.02.13
0027EB	002823	CODE	N	"ASCII text character $2F line break, also used as a subroutine by $80 end string"	2008.02.13
002824	002E1D	CODE	N	Unknown routines	2008.02.13
002DC8	002DF0	CODE	N	"DMA to VRAM, called from 13 places in bank $C0"	2008.02.13
002DF1					2008.02.13
002E1E	002E66	CODE	N	Color crash (ends in infinite loop)	2007.06.29
002E67	002E99	CODE	N	"Event Commands AA, AE, B4 (and probably B3)"	2004.05.26
002E9A	002F00	CODE	N	Event Command AB	2004.05.26
002F01	002F70	CODE	N	Event Command B7	2004.04.21
002F71	002F95	CODE	N	Event Command AC	2004.03.30
002F96	002FC5	CODE	N	Event Command AD	2004.04.01
002FC6	002FFC	CODE	N	"Event Commands B9, BA, BC, BD"	2004.06.28
002FFD	00305B	CODE	N	"Event Command AF, B0"	2004.06.29
00305E	00326B	CODE	N	Unknown routines	2004.04.08
00326C	003459	CODE	N	Event Command D9	2004.04.08
00345A	00353E	CODE	N	Event Command DA	2004.04.06
00353F	003542	CODE	N	Unknown routines	2004.04.06
003543	003545	CODE	N	Event Command B2	2004.03.31
003546	00354E	CODE	N	Event Command B5	2004.06.23
00354F	003556	CODE	N	Event Command B6	2004.06.23
003557	00356F	CODE	N	Event Command B8	2004.03.30
003570	0035B4	CODE	N	Event Command BB	2004.04.01
0035B5	0035FB	CODE	N	Event Command C1	2004.05.21
0035FC	003642	CODE	N	Event Command C2	2004.05.21
003643	003710	CODE	N	"Event Commands C0, C3, C4"	2004.06.22
003711	003756	CODE	N	Event Command 33	2004.06.28
003757	00377F	CODE	N	Event Command C8	2004.05.26
003780	0037B0	CODE	N	Event Command C9	2004.05.28
0037B1	0037E2	CODE	N	"Event Commands C7, CA"	2004.07.06
0037E3	0037F8	CODE	N	Event Command CB	2004.06.11
0037F9	003826	CODE	N	Event Command D7	2004.06.23
003827	00385A	CODE	N	Event Command CC	2004.05.28
00385B	003873	CODE	N	Event Command CD	2004.06.03
003874	00388C	CODE	N	Event Command CE	2004.05.28
00388D	0038BD	CODE	N	Event Command CF	2004.06.17
0038BE	0038D2	CODE	N	Event Command D0	2004.06.17
0038D3	0038E7	CODE	N	Event Command D1	2004.06.22
0038E8	003918	CODE	N	Event Command D2	2004.05.25
003919	00394D	CODE	N	Event Command D3	2004.05.25
00394E	003A06	CODE	N	Event Command D4	2004.04.29
003A07	003A67	CODE	N	Event Command D6	2004.06.28
003A68	003A82	CODE	N	Event Command D5	2004.06.28
003A83	003AAC	CODE	N	Event Command D8	2004.04.08
003AAD	003AB6	CODE	N	Unknown routines	2004.05.03
003AB7	003AF0	CODE	N	Event Command E0	2004.05.03
003AF1	003B1A	CODE	N	Event Command DC	2004.06.28
003B1B	003B4A	CODE	N	"Event Commands DD, DE"	2004.06.25
003B4B	003B9D	CODE	N	"Event Commands DF, E1"	2004.06.25
003B9E	003C04	CODE	N	Event Command E2	2004.06.25
003C05	003C10	CODE	N	Event Command E3	2004.04.06
003C11	003C2E	CODE	N	Event Command E8	2004.04.06
003C2F	003C4B	CODE	N	Event Command EA	2004.04.07
003C4C	003C97	CODE	N	Event Command EB	2004.05.24
003C98	003CBB	CODE	N	Event Command EC	2004.05.03
003CBC	003CC4	CODE	N	Event Command ED	2004.06.04
003CC5	003CCF	CODE	N	Event Command EE	2004.06.04
003CD0	003CFC	CODE	N	Event Command F0	2004.05.21
003CFD	003D06	CODE	N	Event Command F2	2004.06.17
003D07	003D79	CODE	N	Event Command F1	2004.06.22
003D7A	003D83	CODE	N	Event Command F3	2004.06.22
003D84	003D96	CODE	N	Event Command F4	2004.06.22
003D97	003DC4	CODE	N	Event Command E4	2004.06.04
003DC5	003DF3	CODE	N	Event Command E5	2004.06.04
003DF4	003E2F	CODE	N	Event Command E6	2004.06.14
003E30	003E5B	CODE	N	Event Command E7	2004.04.08
003E5C	003E7B	CODE	N	"Event Command F8, F9, FA"	2004.06.25
003E7C	003E83	CODE	N	Unknown routines	2004.06.25
003E84	003ED5	CODE	N	Event Command 29	2004.05.24
003ED6	003EE5	CODE	N	"Event Commands 2A, 2B, 32"	2004.06.23
003EE6	003F11	CODE	N	Event Command 2C	2004.06.17
003F12	003F25	CODE	N	Event Command 2F	2004.06.23
003F26	003FAE	CODE	N	Event Command FE	2004.06.25
003FAF	00400D	CODE	N	Event Command FF	2004.04.29
00400E	004035	PTR	N	Pointers to Event Command FF subroutines	2004.04.29
004036	0041E3	CODE	N	Subroutines for Event Command FF	2004.04.29
0041E4	004475	CODE	N	"Event Commands 57, 5C, 62, 68, 6A, 6C, 6D, 80"	2004.06.11
004476	004556	CODE	N	Event Command 81	2004.05.25
004557	0046DE	CODE	N	Event Command 82 (partial overlap with 83)	2004.03.29
0046DF	00477A	CODE	N	Event Command 83	2007.08.15
00477B	00477B	DATA	N	Starting enemy index that uses uncompressed graphics ($F8)	2007.08.15
00477C	0047EB	CODE	N	Event Command 83	2008.02.13
0047EC	0047EF	CODE	N	Check static enemy setting	2008.02.13
0047F0	0047F6	CODE	N	Routines used for static enemy	2008.02.13
0047F7	004866	CODE	N	Event Command 83	2008.02.13
004867	004875	CODE	N	Event Command 84	2004.03.31
004876	004891	CODE	N	Event Command 87	2004.04.13
004892	004A4D	CODE	N	Event Command 88	2004.06.17
004A4E	004B48	CODE	N	Event Command 2E	2004.06.17
004B49	004B57	CODE	N	Event Command 89	2004.03.31
004B58	004B73	CODE	N	Event Command 8A	2004.04.01
004B74	004BC2	CODE	N	Event Command 8B	2004.03.29
004BC3	004C26	CODE	N	Event Command 8C	2004.06.03
004C27	004C73	CODE	N	Event Command 8D	2004.03.30
004C74	004CD4	CODE	N	Event Command 8E	2004.03.30
004CD5	004D05	CODE	N	"Event Commands 7C, 7D, 7E, 90, 91"	2004.06.28
004D06	004E24	CODE	N	Event Command 7A	2004.06.18
004E25	004E72	CODE	N	Event Command 7B	2007.08.31
004E73	004EC6	CODE	N	Event Command 92	2004.05.28
004EC7	004F09	CODE	N	Event Command 9C	2004.04.06
004F0A	004F60	CODE	N	Event Command 9D	2004.04.06
004F61	004FE9	CODE	N	Event Command 96	2004.03.31
004FEA	005083	CODE	N	Event Command 9A	2004.06.29
005084	005128	CODE	N	Event Command 97	2004.06.14
005129	005190	CODE	N	Event Command A0	2004.06.14
005191	005214	CODE	N	Event Command A1	2004.07.07
005215	0052BF	CODE	N	Event Command 94	2004.06.17
0052C0	005349	CODE	N	Event Command 9E	2004.06.29
00534A	00540F	CODE	N	Event Command 98	2004.06.28
005410	005428	CODE	N	Event Command 95 (overlaps 94)	2004.06.28
005429	0054F4	CODE	N	Event Command 8F	2004.06.28
0054F5	00550D	CODE	N	Event Command 9F (overlaps 9E)	2004.06.29
00550E	005534	CODE	N	Event Command 99 (overlaps 98)	2004.06.29
005535	00559F	CODE	N	"Event Commands 0F, 17, 1B, 1D, 1E, 1F, 25, 26, A6, A7"	2004.07.07
0055A0	005613	CODE	N	"Event Commands A8, A9"	2004.06.04
005614	0058FF	CODE	N	Unknown routines	2004.05.25
005900	005913	CODE	N	Event Command startup access processing routine	2004.03.30
005914	005AA2	CODE	N	Unknown routines	2004.01.12
005AA3	005AB8	CODE	N	Event Command arbitrary access processing routine	2004.03.30
005AB9	005C8F	CODE	N	Unknown routines	2004.03.29
005C90	005CC1	CODE	N	"Subroutine called by Event Commands 82, 83 . Checks for loaded sprite graphics."	2007.06.12
005CC2	005CC6	CODE	N	Unknown routines	2007.06.29
005CC7	005CDC	CODE	N	Routines check for old BETA $0D0A location event format	2007.06.29
005CDD	005CEB	CODE	N	Routines check decompressed location event size	2007.06.29
005CEC	005D36	CODE	N	Unknown routines	2007.06.29
005D37	005D6D	???	N	Unknown data	2004.12.07
005D6E	005F6D	PTR	N	Pointers to Event Command routines (local)	2004.06.21
005F6E	005F73	CODE	N	Event Command 01 and others (crash = light yellow)	2007.06.29
005F74	005FB5	CODE	N	Event Command 00	2004.04.01
005FB6	00607D	CODE	N	Event Command 02	2004.03.31
00607E	006108	CODE	N	Event Command 03	2004.06.02
006109	0061E8	CODE	N	Event Command 04	2004.04.16
0061E9	0061FD	CODE	N	"Event Command 05, overlaps 02"	2004.04.16
0061FE	00623F	CODE	N	"Event Commands 06, 07, overlaps 04"	2004.09.15
006240	006253	CODE	N	"Event Commands 08, 09"	2004.09.15
006254	006268	CODE	N	Event Command 0A	2004.06.14
006269	006294	CODE	N	"Event Commands 0B, 0C"	2004.06.14
