Command	Address	Bytes	Pseudo	Summary	Description	Modified
00	1037	1	00	init mem	Initializes memory	2004.04.27
01	1091	2	01 pp	set palette	pp - palette . sets palette of boat sprite . looks a lot like 02	2004.08.11
02	10A8	2	02 vv	assignment	vv - value to OR and store to process memory 0F	2005.03.16
03	10BF	10	03 ?? ?? ?? ?? ?? ?? ?? ?? ?? ??		unknown - arguments do not appear to be loaded	2004.08.17
04	10CD	6	04 aaaaaa ?? ??		aaaaaa - address	2005.03.18
05	1100	5	05 llll xx yy	change location	llll - location to chage to . xx - X Coord . yy - Y Coord	2005.02.09
06	1169	1	06	direct page jump	unused . uses direct page register as jump value	2004.08.18
07	116B	5	07 ll xx yy vv	set tile	ll - offset to ROM location that determines layer . xx - X Coord . yy - Y Coord . vv - value to store	2004.08.20
08	11B2	4	08 ???? ??			2004.08.17
09	11F6	4	09 aaaaaa	add proc	"aaaaaa - memory address . adds extra processing to be done after an ""end"" is reached, slightly different from 43"	2005.03.15
0A	120C	2	0A oo		oo - offset to store a value to (+7E0C30)	2004.08.13
0B	121D	2	0B oo	increment	oo - offset to increment in process memory	2005.03.16
0C	1230	2	0C oo	decrement	oo - offset to decrement in process memory	2005.03.16
0D	1243	3	0D oo vv	assignment	oo - offset to store to process memory . vv -value to store	2005.03.16
0E	1257	3	0E oo bb	set bits	oo - offset to set bits in process memory . bb - bits to set	2005.03.16
0F	126D	3	0F oo bb	reset bits	oo - offset to reset bits in process memory . bb - bits to reset	2005.03.16
10	1285	3	10 aaaa	reset byte	aaaa - address of byte to reset (+7E0000)	2004.08.17
11	1296	3	11 aaaa	increment	aaaa - address to increment (+7E0000)	2004.08.13
12	12A7	3	12 aaaa	decrement	aaaa - address to decrement (+7E0000)	2004.08.18
13	12B8	4	13 aaaa vv	assignment	aaaa - address to store to (+7E0000) . vv - value to store	2004.08.06
14	12CE	4	14 aaaa bb	set bits	aaaa - address to reset bits in (+7E0000) . bb - bits to set	2004.08.17
15	12E7	4	15 aaaa bb	reset bits	aaaa - address to reset bits in (+7E0000) . bb - bits to reset	2004.08.16
