Command	Address	Bytes	Pseudo	Summary	Description	Modified
00	4CF0	0	00			2008.02.04
01	4CF7	0	01			2008.02.04
02	4D04	2	02 aa			2008.02.04
03	4E22	0	03			2008.02.04
04	4EA2	0	04			2008.02.04
05	4EA2	0	05	alias	same as 04	2008.02.04
06	4EA2	0	06	alias	same as 04	2008.02.04
07	4F1A	0	07			2008.02.04
08	4F54	0	08			2008.02.04
09	4F54	0	09	alias	same as 08	2008.02.04
0A	4F54	0	0A	alias	same as 08	2008.02.04
0B	4F54	0	0B	alias	same as 08	2008.02.04
0C	4F54	0	0C	alias	same as 08	2008.02.04
0D	4F54	0	0D	alias	same as 08	2008.02.04
0E	4F54	0	0E	alias	same as 08	2008.02.04
0F	4F54	0	0F	alias	same as 08	2008.02.04
10	4FBF	0	10			2008.02.04
11	4FD1	0	11			2008.02.04
12	4FE3	0	12			2008.02.04
13	51EE	0	13			2008.02.04
14	5205	0	14			2008.02.04
15	521C	0	15			2008.02.04
16	5409	0	16			2008.02.04
17	541B	0	17			2008.02.04
18	542D	0	18			2008.02.04
19	5611	0	19			2008.02.04
1A	566C	0	1A			2008.02.04
1B	567D	0	1B			2008.02.04
1C	5694	0	1C			2008.02.04
1D	56BB	0	1D			2008.02.04
1E	56CC	0	1E			2008.02.04
1F	56FB	0	1F			2008.02.04
20	5714	0	20			2008.02.04
21	5722	0	21			2008.02.04
22	572C	0	22			2008.02.04
23	5743	0	23			2008.02.04
24	5756	0	24			2008.02.04
25	5769	0	25			2008.02.04
26	577D	0	26			2008.02.04
27	5806	0	27			2008.02.04
28	5840	0	28			2008.02.04
29	5844	0	29			2008.02.04
2A	5879	0	2A			2008.02.04
2B	587D	0	2B			2008.02.04
2C	58AB	0	2C			2008.02.04
2D	58DC	0	2D			2008.02.04
2E	58E4	0	2E			2008.02.04
2F	4CF7	0	2F	alias	same as 01	2008.02.04
30	58EC	0	30			2008.02.04
31	58FE	0	31			2008.02.04
32	590C	0	32			2008.02.04
33	591A	0	33			2008.02.04
34	5931	0	34			2008.02.04
35	5940	0	35			2008.02.04
36	594B	0	36			2008.02.04
37	5956	0	37			2008.02.04
38	5965	0	38			2008.02.04
39	5970	0	39			2008.02.04
3A	597B	0	3A			2008.02.04
3B	5991	0	3B			2008.02.04
3C	59A3	0	3C			2008.02.04
3D	59B9	0	3D			2008.02.04
3E	59B9	0	3E	alias	same as 3D	2008.02.04
3F	59B9	0	3F	alias	same as 3D	2008.02.04
40	59B9	0	40	alias	same as 3D	2008.02.04
41	59E4	0	41			2008.02.04
42	59FA	0	42			2008.02.04
43	5A0C	0	43			2008.02.04
44	5A3E	0	44			2008.02.04
45	59B9	0	45			2008.02.04
46	59B9	0	46	alias	same as 45	2008.02.04
47	623C	0	47			2008.02.04
